Brand,Title,Strain,THC Percentage,Price,Image URL,Weight,Value
AlienLabs,AlienLabs Pre-Roll 1g - ATAP,Atomic Apple                                     -                                     Hybrid,25%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_alien_labs_nat_e-comm_web_images_05_08_pre-roll_680x680_1.png,1.0,1.6666666666666667
Roll One,Roll One Pre-Roll 1G - GWFR,Green Wildfire                                     -                                     Sativa,10%,$7.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_ro_fl_e-comm_web_images_pre-roll_680x680_2_1.png,1.0,1.4285714285714286
Sunshine Cannabis,Sunshine Cannabis Pre-Roll 1G - SBW,Sunshine Strainbow                                     -                                     Hybrid,21%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/n/e/new-2023_05_sunshine_nat_e-comm_web_images_05_08_pre-roll_680x680_1_2.png,1.0,1.4
N/A,TruFlower 3.5G - JCBR,Juice Berry                                     -                                     Indica,16%,$40.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_04_12_trulieve_strains_website_6_juice-berry.png,3.5,1.4
N/A,TruFlower Pre-Roll 1G - MMS,Mimosa                                     -                                     Sativa,18%,$13.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_fl_e-comm_web_image_pre-roll_680x680_4_8.png,1.0,1.3846153846153846
N/A,Connected Pre-Roll 1G - NTSD,Nightshade                                     -                                     Indica Dominant Hybrid,20%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_connected_nat_e-comm_web_images_05_08_pre-roll_680x680_1_3.png,1.0,1.3333333333333333
N/A,Cultivar Pre-Roll 1G - BNG,Indica,20%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_cultivar_fl_e-comm_web_image_pre-roll_680x680_12.png,1.0,1.3333333333333333
Sunshine Cannabis,Sunshine Cannabis Pre-Roll 1G - AFT,Afghan Triangle                                     -                                     Indica,19%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_sunshine_nat_e-comm_web_images_05_08_pre-roll_680x680.png,1.0,1.2666666666666666
N/A,TruFlower PreRoll 1G - TruSalute,Garlic Cookies                                     -                                     Hybrid,19%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_fl_e-comm_web_image_pre-roll_680x680_1_.png,1.0,1.2666666666666666
Black Tuna,TruFlower Pre-Roll 1G - YFN,Yellowfin By TBTG                                     -                                     Indica,19%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/r/2/r2023_05_yellowfin_nat_e-comm_web_image_pre-roll_680x680.png,1.0,1.2666666666666666
Sunshine Cannabis,Sunshine Cannabis Pre-Roll 1G - WSS,White Sunshine                                     -                                     Hybrid,18%,$15.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_sunshine_nat_e-comm_web_images_05_08_pre-roll_680x680_8.png,1.0,1.2
N/A,TruFlower Pre-Roll 1G - ETR,Emerald Coast Triangle                                     -                                     Indica,15%,$13.00,https://shop.trulieve.com/media/catalog/product/cache/f8a1eb82af3db6e5242de20aee10846a/2/0/2023_05_tru_fl_e-comm_web_image_pre-roll_680x680_8_21.png,1.0,1.1538461538461537
